"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","FRGB","FRGT","FRTH","GAHT","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WESD","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00014826","FLINT FCWOS, MI US","1960-02-01",,,,,,,,,,"0.00","0.0","3.0",,"34","13",,,,,,"0.7",,,,,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-02-02",,,,,,,,,,"0.00","0.1","3.0",,"23","11",,,,,,"0.7",,,,,,,,,,,,"    1",,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-02-03",,,,,,,,,,"0.00","0.0","3.0",,"30","8",,,,,,"0.7",,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-02-04",,,,,,,,,,"0.00","0.0","3.0",,"36","10",,,,,,"0.7",,,,,,,,,,"    1",,"    1",,,,,,,"    1",,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-02-05",,,,,,,,,,"0.26","0.0","3.0",,"41","30",,,,,,"0.7",,,,,"    1",,,,,"    1",,"    1",,,,,"    1",,"    1",,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-02-06",,,,,,,,,,"0.18","0.9","1.0",,"35","31",,,,,,,,,,,"    1",,,,,,,,,,,,,,"    1",,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-02-07",,,,,,,,,,"0.00","0.2","1.0",,"32","22",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-02-08",,,,,,,,,,"0.00","0.1","1.0",,"37","23",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-02-09",,,,,,,,,,"0.02","0.4","0.0",,"37","28",,,,,,,,,,,,,,,,,,,"    1",,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-02-10",,,,,,,,,,"0.34","1.4","2.0",,"37","27",,,,,,"0.3",,,,,"    1",,,"    1",,"    1",,,"    1",,,,,,"    1",,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-02-11",,,,,,,,,,"0.07","0.6","1.0",,"33","17",,,,,,,,,,,"    1",,,,,,,,,,,,,,"    1",,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-02-12",,,,,,,,,,"0.02","0.3","1.0",,"24","13",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-02-13",,,,,,,,,,"0.00","0.0","1.0",,"23","8",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-02-14",,,,,,,,,,"0.00","0.2","1.0",,"21","15",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,
